confidence,true_label
0.08130002,0.0
-0.015346613,1.0
0.12361311,0.0
0.048932835,0.0
0.40234253,0.0
0.15888472,0.0
0.022575779,0.0
0.084017955,0.0
0.0591893,0.0
0.22250141,0.0
0.08594086,0.0
-0.021398775,0.0
0.12951379,0.0
0.035363022,0.0
0.4114357,0.0
0.14177057,1.0
-0.00050398114,0.0
0.11295971,0.0
0.04815198,0.0
0.26555413,0.0
0.07186,0.0
-0.027596772,0.0
0.112459585,0.0
0.04479267,0.0
0.37614125,0.0
0.14205006,1.0
0.020725455,0.0
0.097761594,0.0
0.081485145,0.0
0.2539891,0.0
0.08094502,0.0
-0.024389142,0.0
0.1164292,0.0
0.03203164,0.0
0.37927753,0.0
0.15249686,0.0
-0.0043954756,0.0
0.08312761,0.0
0.09294319,0.0
0.29167524,1.0
0.08069322,0.0
-0.028402453,0.0
0.13284934,1.0
0.04366332,0.0
0.42581108,0.0
0.13325608,0.0
0.0072206585,0.0
0.11154607,0.0
0.02982099,0.0
0.25191337,0.0
0.0865082,0.0
-0.024273567,0.0
0.120216265,0.0
0.038158745,0.0
0.34835133,0.0
0.12955862,0.0
-0.0053160284,0.0
0.10380159,0.0
0.06936262,1.0
0.33555415,0.0
0.080414,0.0
-0.027629904,0.0
0.12728143,1.0
0.025280528,0.0
0.38874495,0.0
0.13033232,0.0
0.00987538,0.0
0.10921051,0.0
0.075456925,0.0
0.27533853,0.0
0.07777943,0.0
-0.014183116,0.0
0.11277757,0.0
0.040298235,0.0
0.40233785,0.0
0.13884252,1.0
-0.0022341418,0.0
0.10935495,0.0
0.07297905,0.0
0.26174513,0.0
0.08723053,0.0
-0.028992448,0.0
0.11604099,0.0
0.047969557,0.0
0.37545073,0.0
0.14246503,0.0
0.003966817,0.0
0.09088685,1.0
0.071423255,0.0
0.27803925,0.0
0.08045524,0.0
-0.020839931,0.0
0.12976205,0.0
0.033416953,0.0
0.40808144,0.0
0.13216181,0.0
0.012102081,0.0
0.10769448,0.0
0.03675715,0.0
0.27627745,1.0
0.06926157,0.0
-0.02499506,0.0
0.12533803,1.0
0.0299989,0.0
0.35174406,0.0
0.13175721,0.0
0.003676462,0.0
0.096771166,0.0
0.069492616,0.0
0.32509506,0.0
0.07923499,0.0
-0.018356334,0.0
0.12412162,0.0
0.036820203,0.0
0.4041416,0.0
0.13014366,0.0
0.0130766295,0.0
0.09392346,0.0
0.08236525,1.0
0.22677726,0.0
0.06854428,0.0
-0.013832783,1.0
0.12361696,0.0
0.028959865,0.0
0.3716531,0.0
0.14903258,0.0
0.008143826,0.0
0.09056908,0.0
0.081874676,0.0
0.2703126,0.0
0.076397866,0.0
-0.021588426,0.0
0.11584158,0.0
0.039503623,0.0
0.39860642,0.0
0.12832943,1.0
0.017162709,0.0
0.09521607,0.0
0.061282426,0.0
0.2545839,0.0
0.07932727,0.0
-0.021541886,0.0
0.11437597,0.0
0.051854275,0.0
0.38847405,1.0
0.14040898,0.0
0.019419393,0.0
0.08219893,0.0
0.087455206,0.0
0.25335845,0.0
0.06561688,1.0
-0.0154188685,0.0
0.12898478,0.0
0.037760586,0.0
0.39481297,0.0
0.13129362,0.0
0.029557247,0.0
0.10659242,0.0
0.07442495,0.0
0.2389657,0.0
0.08094755,0.0
-0.014889993,0.0
0.11990441,0.0
0.036428608,0.0
0.42687643,0.0
0.13659479,1.0
0.019869503,0.0
0.10282785,0.0
0.052611303,0.0
0.2396585,0.0
0.08271704,0.0
-0.024967758,0.0
0.13069662,0.0
0.03628953,0.0
0.3829579,0.0
0.13284643,0.0
-0.0026226789,1.0
0.10243496,0.0
0.0730555,0.0
0.28212315,0.0
0.08745715,0.0
-0.032191347,0.0
0.13137323,0.0
0.028821502,1.0
0.3732352,0.0
0.13501579,0.0
-0.00011334926,0.0
0.108263224,0.0
0.07865851,0.0
0.2742346,0.0
0.08887285,0.0
-0.024785077,0.0
0.11996008,0.0
0.039367374,0.0
0.33731166,0.0
0.13150364,0.0
-0.000672946,0.0
0.09210957,0.0
0.071147434,1.0
